student_id,registration_number,batch_year,branch_code,entry_type,_latent_ability,_study_habit,_attendance_incl
1,REG2023CE00001,2023,CE,REGULAR,0.6530483110497608,1.1026874654627117,-1.8498029371642315
2,REG2020CSE00002,2020,CSE,REGULAR,1.1686312434505337,-0.9853817971256875,-1.0939404090684741
3,REG2023ECE00003,2023,ECE,REGULAR,-0.004856944651029905,-0.38332330626590305,-0.4625268602017521
4,REG2020ME00004,2020,ME,REGULAR,-1.1124973543294479,0.6342402962642899,3.061095214378261
5,REG2023EEE00005,2023,EEE,REGULAR,1.2093819706866338,0.5379600036919956,2.7344221590617415
6,REG2020CSE00006,2020,CSE,REGULAR,0.09376543015194676,2.783938046489837,-0.031186798166844176
7,REG2023CSE00007,2023,CSE,REGULAR,-0.22346278532585084,0.7140004940920919,0.47323762457354485
8,REG2023ME00008,2023,ME,LATERAL_ENTRY,-0.07282891265687277,-0.846793718068405,-1.5148472246858646
9,REG2023CSE00009,2023,CSE,REGULAR,-1.3414034979461644,-1.6216946209434833,-1.147719972825
10,REG2021ME00010,2021,ME,REGULAR,1.389602828146591,0.8724471576604531,1.0661985440977382
11,REG2022ME00011,2022,ME,REGULAR,0.9051219599565592,-0.6039043724845287,0.30444911987085255
12,REG2022EEE00012,2022,EEE,REGULAR,0.2572074909801068,1.4373563283335271,0.007306372740632225
13,REG2021CSE00013,2021,CSE,REGULAR,0.23229615817640498,0.17618092205232136,-1.152565371660015
14,REG2022ECE00014,2022,ECE,REGULAR,-1.500768393207174,-0.03963614203961917,-0.5346627418500639
15,REG2021EEE00015,2021,EEE,REGULAR,-0.4719318657894335,1.0889505969673663,0.06428001909546277
16,REG2023EEE00016,2023,EEE,REGULAR,-1.0777447779293061,-0.7303666317171367,0.21645858958197486
17,REG2021EEE00017,2021,EEE,REGULAR,2.1439440893253257,0.6339190223180112,-2.025142586657607
18,REG2022CSE00018,2022,CSE,REGULAR,0.18645431476942764,-0.7925207384327007,-0.11473644146689901
19,REG2021EEE00019,2021,EEE,REGULAR,0.5049872789804571,0.8657551941701215,-1.2002964070557762
20,REG2023CSE00020,2023,CSE,REGULAR,-0.3345012358409484,1.7654542402810969,0.40498171096095553
21,REG2023EEE00021,2023,EEE,REGULAR,2.1346412480074077,0.22684882198078649,1.6554616253789212
22,REG2023ME00022,2023,ME,REGULAR,-0.46292542206364823,-0.6800043341179428,-0.2634058448672732
23,REG2021CSE00023,2021,CSE,REGULAR,-0.237391961206669,1.8720056804723042,-0.019442140899548193
24,REG2021CE00024,2021,CE,REGULAR,-0.9325916565610811,-0.42004746462751613,0.13920411095681615
25,REG2023EEE00025,2023,EEE,LATERAL_ENTRY,1.4412732890661155,-1.4358621511794394,1.1631637521549596
26,REG2023EEE00026,2023,EEE,REGULAR,0.010233061019587049,0.19905969557347003,-0.6002168771587947
27,REG2023CSE00027,2023,CSE,LATERAL_ENTRY,0.11351734525124799,0.6621306745210463,1.586016816145352
28,REG2022CSE00028,2022,CSE,REGULAR,-1.237815498826849,-0.15178509503558324,0.5883172064845762
29,REG2022CSE00029,2022,CSE,REGULAR,0.2809918677350327,-0.6226995198205939,-0.20812225035727533
30,REG2021ECE00030,2021,ECE,REGULAR,-0.4930009346588331,-0.5893647569442118,0.849602097021025
31,REG2021CE00031,2021,CE,REGULAR,0.8995998754332507,0.30729952087660933,0.8128621188389601
