student_id,course_code,branch,semester,course_credits,course_type,CA_mark,MID_mark,attendance_percentage,study_hours_per_week,assignment_completion_pct,previous_sgpa,previous_cgpa,backlog_count,TARGET_END_MARKS
1,CE103,CE,1,3,THEORY,50.0,50.0,57.75,24.25,90.38,,,0,100.0
1,CE104,CE,1,3,THEORY,48.81,45.54,57.75,24.25,90.38,,,0,100.0
1,CE105,CE,1,3,THEORY,38.42,34.41,57.75,24.25,90.38,,,0,73.03
1,CE201,CE,2,3,THEORY,38.5,46.36,53.78,25.76,80.47,9.6,9.6,0,79.52
1,CE204,CE,2,3,THEORY,39.49,39.24,53.78,25.76,80.47,9.6,9.6,0,84.37
1,CE205,CE,2,3,THEORY,42.49,,53.78,25.76,80.47,9.6,9.6,0,88.37
1,CE301,CE,3,3,THEORY,39.45,41.97,54.97,21.98,98.54,8.6,9.1,0,100.0
1,CE302,CE,3,3,THEORY,40.7,32.04,54.97,21.98,98.54,8.6,9.1,0,74.09
1,CE303,CE,3,3,THEORY,40.33,35.53,54.97,21.98,98.54,8.6,9.1,0,91.03
1,CE304,CE,3,3,THEORY,42.71,41.19,54.97,21.98,98.54,8.6,9.1,0,92.84
1,CE305,CE,3,0,NON_CREDIT,45.0,,54.97,21.98,98.54,8.6,9.1,0,76.91
1,CE401,CE,4,3,THEORY,34.82,39.78,46.44,20.35,86.53,9.0,9.07,0,75.84
1,CE402,CE,4,3,THEORY,39.47,41.25,46.44,20.35,86.53,9.0,9.07,0,78.94
1,CE404,CE,4,3,THEORY,39.34,44.02,46.44,20.35,86.53,9.0,9.07,0,77.0
1,CE405,CE,4,0,NON_CREDIT,47.61,,46.44,20.35,86.53,9.0,9.07,0,84.13
1,CE501,CE,5,0,NON_CREDIT,41.87,,59.47,25.03,90.23,8.64,8.98,0,89.51
1,CE502,CE,5,3,THEORY,47.89,43.01,59.47,25.03,90.23,8.64,8.98,0,85.5
1,CE503,CE,5,3,THEORY,41.45,44.72,59.47,25.03,90.23,8.64,8.98,0,81.24
1,CE504,CE,5,3,THEORY,47.53,40.95,59.47,25.03,90.23,8.64,8.98,0,100.0
1,CE505,CE,5,3,THEORY,38.38,34.86,59.47,25.03,90.23,8.64,8.98,0,77.56
1,CE601,CE,6,3,THEORY,41.17,41.52,69.07,25.45,87.62,9.0,8.98,0,93.71
1,CE603,CE,6,3,THEORY,43.12,43.38,69.07,25.45,87.62,9.0,8.98,0,77.42
1,CE604,CE,6,3,THEORY,39.93,30.46,69.07,25.45,87.62,9.0,8.98,0,79.81
1,CE605,CE,6,3,THEORY,44.49,45.61,69.07,25.45,87.62,9.0,8.98,0,84.01
1,CE701,CE,7,0,NON_CREDIT,42.23,,62.5,17.92,96.72,8.93,8.97,0,87.56
1,CE702,CE,7,3,THEORY,45.54,49.42,62.5,17.92,96.72,8.93,8.97,0,89.92
1,CE703,CE,7,3,THEORY,38.67,31.9,62.5,17.92,96.72,8.93,8.97,0,78.8
1,CE704,CE,7,3,THEORY,43.39,41.12,62.5,17.92,96.72,8.93,8.97,0,90.15
1,CE705,CE,7,0,NON_CREDIT,49.91,,62.5,17.92,96.72,8.93,8.97,0,91.52
1,CE801,CE,8,3,THEORY,41.23,47.9,64.77,19.87,85.84,9.0,8.98,0,94.32
1,CE804,CE,8,3,THEORY,46.89,46.45,64.77,19.87,85.84,9.0,8.98,0,94.42
2,CSE101,CSE,1,3,THEORY,48.17,46.84,62.82,13.67,82.67,,,0,100.0
2,CSE102,CSE,1,0,NON_CREDIT,34.94,,62.82,13.67,82.67,,,0,81.34
2,CSE104,CSE,1,3,THEORY,41.28,37.72,62.82,13.67,82.67,,,0,91.15
2,CSE105,CSE,1,3,THEORY,45.53,36.94,62.82,13.67,82.67,,,0,83.41
2,CSE201,CSE,2,3,THEORY,42.11,39.23,52.87,9.51,60.87,9.45,9.45,0,83.33
2,CSE202,CSE,2,3,THEORY,43.66,38.7,52.87,9.51,60.87,9.45,9.45,0,94.43
2,CSE301,CSE,3,3,THEORY,45.2,49.97,59.98,18.27,60.69,8.71,9.04,0,76.79
2,CSE302,CSE,3,0,NON_CREDIT,48.1,,59.98,18.27,60.69,8.71,9.04,0,98.43
2,CSE304,CSE,3,3,THEORY,45.52,47.59,59.98,18.27,60.69,8.71,9.04,0,96.16
2,CSE305,CSE,3,3,THEORY,39.72,48.4,59.98,18.27,60.69,8.71,9.04,0,95.0
2,CSE401,CSE,4,3,THEORY,49.23,47.45,66.69,19.7,77.79,9.73,9.25,0,93.91
2,CSE402,CSE,4,3,THEORY,44.21,42.95,66.69,19.7,77.79,9.73,9.25,0,89.92
2,CSE403,CSE,4,3,THEORY,50.0,46.67,66.69,19.7,77.79,9.73,9.25,0,100.0
2,CSE404,CSE,4,3,THEORY,39.03,50.0,66.69,19.7,77.79,9.73,9.25,0,88.57
2,CSE405,CSE,4,3,THEORY,39.31,34.4,66.69,19.7,77.79,9.73,9.25,0,80.89
2,CSE502,CSE,5,3,THEORY,48.07,46.67,58.63,14.13,68.43,9.2,9.24,0,99.01
2,CSE503,CSE,5,3,THEORY,44.85,50.0,58.63,14.13,68.43,9.2,9.24,0,95.99
2,CSE504,CSE,5,3,THEORY,34.12,41.87,58.63,14.13,68.43,9.2,9.24,0,69.69
2,CSE505,CSE,5,3,THEORY,45.17,48.32,58.63,14.13,68.43,9.2,9.24,0,95.72
2,CSE602,CSE,6,3,THEORY,44.68,44.44,79.05,9.86,83.37,9.43,9.28,0,88.64
2,CSE603,CSE,6,3,THEORY,50.0,50.0,79.05,9.86,83.37,9.43,9.28,0,100.0
2,CSE604,CSE,6,3,THEORY,40.0,45.28,79.05,9.86,83.37,9.43,9.28,0,73.08
2,CSE605,CSE,6,3,THEORY,44.31,40.38,79.05,9.86,83.37,9.43,9.28,0,80.11
2,CSE702,CSE,7,3,THEORY,42.44,42.55,49.75,19.54,61.97,9.14,9.25,0,97.31
